"city","lat","lng","country"
"Andorra la Vella",42.5,1.5165,"Andorra"
"Toronto",43.7,-79.42,"Canada"
"Ottawa",45.4167,-75.7,"Canada"
"Paris",48.8667,2.3333,"France"
"Lyon",45.77,4.83,"France"
"Rome",41.896,12.4833,"Italy"
"Milan",45.47,9.205,"Italy"
"Lisbon",38.7227,-9.1449,"Portugal"
"Porto",41.15,-8.62,"Portugal"
"Madrid",40.4,-3.6834,"Spain"
"Barcelona",41.3833,2.1834,"Spain"
"Washington",38.9047,-77.0163,"United States"
"Atlanta",33.7627,-84.4225,"United States"
"Harare",-17.8178,31.0447,"Zimbabwe"
"Bulawayo",-20.17,28.58,"Zimbabwe"
